fingerprint=17968842849906426016
lower_0,lower_1,upper_0,upper_1
500.09592777572692,460.96984837182288,510.09592777572692,470.96984837182288
440.19405441912119,587.23944064489478,450.19405441912119,597.23944064489478
484.89123661220634,476.76899001025799,494.89123661220634,486.76899001025799
528.37860114156729,407.61622126612531,538.37860114156729,417.61622126612531
507.36095170531769,438.47973578465542,517.36095170531769,448.47973578465542
588.16731312266131,528.62142316307529,598.16731312266131,538.62142316307529
471.42303519357313,410.72135827585845,481.42303519357313,420.72135827585845
518.34611606220983,525.12745119194483,528.34611606220983,535.12745119194483
486.81436242713818,531.50293378903871,496.81436242713818,541.50293378903871
421.33147893437587,440.26248064103953,431.33147893437587,450.26248064103953
510.43829221797762,476.15449208246122,520.43829221797762,486.15449208246122
515.08689650756037,617.4470853951691,525.08689650756037,627.4470853951691
444.16835331522162,515.65134293262804,454.16835331522162,525.65134293262804
489.64607015092236,484.42642001823026,499.64607015092236,494.42642001823026
531.62499139061151,540.80439351741131,541.62499139061151,550.80439351741131
480.8505176204701,528.42278341409076,490.8505176204701,538.42278341409076
568.19186851146935,448.41637413479765,578.19186851146935,458.41637413479765
478.12533186180565,501.07330401839442,488.12533186180565,511.07330401839442
545.02975016924722,400.05181096624693,555.02975016924722,410.05181096624693
516.22973592209428,525.960774735786,526.22973592209428,535.960774735786
559.60868461347241,455.85383336247594,569.60868461347241,465.85383336247594
507.92507225576992,443.16795260997111,517.92507225576992,453.16795260997111
458.91056662408607,504.93373791813406,468.91056662408607,514.93373791813406
538.12155196895378,599.21644803823199,548.12155196895378,609.21644803823199
551.55541021391946,526.7087713676151,561.55541021391946,536.7087713676151
405.97644066881656,419.81842568558613,415.97644066881656,429.81842568558613
460.34326092237995,579.64627263086618,470.34326092237995,589.64627263086618
478.18375751410616,549.58377293006197,488.18375751410616,559.58377293006197
498.34792222589078,433.78625496021687,508.34792222589078,443.78625496021687
492.34945398839142,447.10060132195849,502.34945398839142,457.10060132195849
550.24355369579644,606.24825337313462,560.24355369579644,616.24825337313462
458.65036416855548,391.60977808679758,468.65036416855548,401.60977808679758
520.5269122691858,556.42164609776739,530.5269122691858,566.42164609776739
481.249627564094,577.72378791908432,491.249627564094,587.72378791908432
416.56810074764769,526.17701218249988,426.56810074764769,536.17701218249988
395.32864546218684,482.48619089761513,405.32864546218684,492.48619089761513
559.57561900078247,522.38414136570771,569.57561900078247,532.38414136570771
477.01281374138011,429.91894266927039,487.01281374138011,439.91894266927039
506.1354790411761,496.35641405780154,516.13547904117604,506.35641405780154
509.15192767452561,560.17019155009848,519.15192767452561,570.17019155009848
481.63605920324704,589.84704596250276,491.63605920324704,599.84704596250276
539.09079035991249,570.85309341160814,549.09079035991249,580.85309341160814
490.65142843489446,457.54397916069888,500.65142843489446,467.54397916069888
513.75596248298268,441.7707819016108,523.75596248298268,451.7707819016108
523.55371035859253,505.54724222111793,533.55371035859253,515.54724222111793
452.84953261215111,541.29750997703013,462.84953261215111,551.29750997703013
494.64374589934658,528.18901906264819,504.64374589934658,538.18901906264819
516.12694898662255,488.99119438276909,526.12694898662255,498.99119438276909
482.13259396690222,521.18760244458042,492.13259396690222,531.18760244458042
411.8704757913913,561.94941603883922,421.8704757913913,571.94941603883922
490.44892807537826,550.50041257591477,500.44892807537826,560.50041257591477
417.70969554821448,490.07315356145853,427.70969554821448,500.07315356145853
529.52566538192195,565.34646827532879,539.52566538192195,575.34646827532879
577.72502247756449,396.7563083054136,587.72502247756449,406.7563083054136
457.12420947681261,492.54534084727703,467.12420947681261,502.54534084727703
531.66255510308611,488.18129646014438,541.66255510308611,498.18129646014438
476.75356034446975,424.85539869706275,486.75356034446975,434.85539869706275
508.29239849466308,540.53124810148768,518.29239849466308,550.53124810148768
421.57198650754265,449.45232270356507,431.57198650754265,459.45232270356507
515.7811399982653,474.62103622321229,525.7811399982653,484.62103622321229
548.47143503560858,403.03534544070823,558.47143503560858,413.03534544070823
487.64260114568521,550.32682769086023,497.64260114568521,560.32682769086023
542.17528080038574,522.82742838441334,552.17528080038574,532.82742838441334
461.01565756980699,504.56669017178763,471.01565756980699,514.56669017178763
590.78313672974241,556.34569762814215,600.78313672974241,566.34569762814215
528.17321935774544,432.72151770799945,538.17321935774544,442.72151770799945
542.01890972187391,522.61140026685996,552.01890972187391,532.61140026685996
495.18178680879811,570.0645616669317,505.18178680879811,580.0645616669317
475.32028266296669,492.07621979411942,485.32028266296669,502.07621979411942
444.17963169346456,485.55498918670685,454.17963169346456,495.55498918670685
531.62193076449466,488.26804618116529,541.62193076449466,498.26804618116529
538.81333960327834,490.24013921714226,548.81333960327834,500.24013921714226
569.94039168640268,381.43129519218235,579.94039168640268,391.43129519218235
634.32584061117552,553.69666551942339,644.32584061117552,563.69666551942339
515.12251250752399,508.40749545998483,525.12251250752399,518.40749545998483
487.52965384078306,416.87065528076738,497.52965384078306,426.87065528076738
410.23897353716382,477.36697618248326,420.23897353716382,487.36697618248326
369.50718448296982,534.24893416772795,379.50718448296982,544.24893416772795
438.36462066686693,461.43746647975848,448.36462066686693,471.43746647975848
515.01849804196183,438.04617627229936,525.01849804196183,448.04617627229936
500.36515053766402,522.22466633422425,510.36515053766402,532.22466633422425
451.41264020478354,474.12908198592601,461.41264020478354,484.12908198592601
510.40073801121059,483.11466639299607,520.40073801121059,493.11466639299607
560.32209051057123,495.9241062501776,570.32209051057123,505.9241062501776
421.13110638886553,511.77774524739539,431.13110638886553,521.77774524739539
488.64605440096079,493.80255424438371,498.64605440096079,503.80255424438371
480.99535705867049,433.77547590514081,490.99535705867049,443.77547590514081
441.33444424109518,545.07066871427878,451.33444424109518,555.07066871427878
447.03547530563384,401.36487587104784,457.03547530563384,411.36487587104784
429.92467563218406,530.32377213998382,439.92467563218406,540.32377213998382
526.33134119310762,534.97616042518609,536.33134119310762,544.97616042518609
493.2861392496859,481.63673223022249,503.2861392496859,491.63673223022249
582.66857624536726,519.62921764048929,592.66857624536726,529.62921764048929
473.00548258432144,477.03626679156088,483.00548258432144,487.03626679156088
552.02297243853707,479.14688474102161,562.02297243853707,489.14688474102161
486.68404479080499,568.40529529344599,496.68404479080499,578.40529529344599
568.98231757949907,463.63486458949939,578.98231757949907,473.63486458949939
479.34655671421251,538.32530616004328,489.34655671421251,548.32530616004328
578.63045859848,554.71336463999739,588.63045859848,564.71336463999739
426.36111331476229,473.8197030741934,436.36111331476229,483.8197030741934
541.36411218510432,520.03256834139302,551.36411218510432,530.03256834139302
473.22349604354292,446.67509009452846,483.22349604354292,456.67509009452846
439.01319902456117,419.58217797413579,449.01319902456117,429.58217797413579
445.13930497081981,546.75804148705959,455.13930497081981,556.75804148705959
457.5243721378946,395.3962352846213,467.5243721378946,405.3962352846213
550.88673623017087,564.9623097258866,560.88673623017087,574.9623097258866
480.30835772665927,475.34929844616499,490.30835772665927,485.34929844616499
508.41485974385114,487.16056702159176,518.41485974385114,497.16056702159176
475.26338312861225,481.52792868747764,485.26338312861225,491.52792868747764
555.03727832621848,479.17363457205636,565.03727832621848,489.17363457205636
406.47063232497356,488.68431633015069,416.47063232497356,498.68431633015069
471.34989942787797,467.37434396778997,481.34989942787797,477.37434396778997
497.21345676095029,524.94357673473814,507.21345676095029,534.94357673473814
384.83975258453398,451.88482749301949,394.83975258453398,461.88482749301949
480.26446656709237,537.78193060242393,490.26446656709237,547.78193060242393
561.1840255124373,488.52176156657123,571.1840255124373,498.52176156657123
461.87249027086767,386.82365976390895,471.87249027086767,396.82365976390895
476.51025583107054,509.30915384783611,486.51025583107054,519.30915384783611
508.57769184628489,509.09324352998374,518.57769184628489,519.09324352998374
505.01996927691363,549.43712318757673,515.01996927691357,559.43712318757673
542.64570116650896,501.80841148461673,552.64570116650896,511.80841148461673
467.10488340954907,568.92040400269252,477.10488340954907,578.92040400269252
501.60883003289638,464.62023150589044,511.60883003289638,474.62023150589044
500.60886763511058,514.33405707896623,510.60886763511058,524.33405707896623
485.43175666171078,500.41934967178241,495.43175666171078,510.41934967178241
440.81768721027146,403.42146770073487,450.81768721027146,413.42146770073487
507.46841064367482,595.82160732968714,517.46841064367482,605.82160732968714
361.9044179855573,600.77340986881916,371.9044179855573,610.77340986881916
463.77207141199005,489.08596811030367,473.77207141199005,499.08596811030367
538.56941457377388,523.96182898034999,548.56941457377388,533.96182898034999
523.49158618801334,586.90215516915134,533.49158618801334,596.90215516915134
484.68161130257801,552.73803944475378,494.68161130257801,562.73803944475378
500.4816341877189,511.24908921718736,510.4816341877189,521.24908921718736
552.60503256490551,539.13803378336718,562.60503256490551,549.13803378336718
487.88780747608183,614.11986406428878,497.88780747608183,624.11986406428878
451.37980755139671,693.10691189760053,461.37980755139671,703.10691189760053
479.21589900383003,509.82630356222876,489.21589900383003,519.82630356222876
454.33953482273955,536.68744142754326,464.33953482273955,546.68744142754326
492.89348941291729,484.9773721579777,502.89348941291729,494.9773721579777
500.33386587532357,506.19123935877928,510.33386587532357,516.19123935877928
461.30342323369422,389.70507679072011,471.30342323369422,399.70507679072011
459.62381434762062,492.90230315304962,469.62381434762062,502.90230315304962
457.02384801075004,524.6070533818812,467.02384801075004,534.6070533818812
472.87636758780701,443.88765434001152,482.87636758780701,453.88765434001152
476.73334887938489,501.94366920269402,486.73334887938489,511.94366920269402
515.61914814344527,622.70404190785825,525.61914814344527,632.70404190785825
557.26522779887296,444.93026004155286,567.26522779887296,454.93026004155286
577.24839140323604,522.32608782038812,587.24839140323604,532.32608782038812
502.11695920980662,517.91925406037433,512.11695920980662,527.91925406037433
424.40733081648318,501.85749825468349,434.40733081648318,511.85749825468349
425.52750625604625,503.16063519567064,435.52750625604625,513.16063519567069
483.4186384055912,558.31410696466332,493.4186384055912,568.31410696466332
582.85900994253223,494.21906936630279,592.85900994253223,504.21906936630279
493.37338687522583,502.04715281681149,503.37338687522583,512.04715281681149
493.52556047090115,619.13729100060789,503.52556047090115,629.13729100060789
437.20198694684933,564.65763475394874,447.20198694684933,574.65763475394874
494.87961727412886,458.53825455826916,504.87961727412886,468.53825455826916
433.73239351441873,542.65969274820043,443.73239351441873,552.65969274820043
488.01627967989651,455.75056854256326,498.01627967989651,465.75056854256326
522.57913472622863,498.04938657037229,532.57913472622863,508.04938657037229
461.23344594793826,484.20375362975449,471.23344594793826,494.20375362975449
394.8631142565855,483.41632786496638,404.8631142565855,493.41632786496638
419.99489958358458,556.62137145614622,429.99489958358458,566.62137145614622
447.32639705253825,417.78703540908771,457.32639705253825,427.78703540908771
526.91288586735618,570.68181847102392,536.91288586735618,580.68181847102392
493.46308069555488,471.9818663487066,503.46308069555488,481.9818663487066
